country,id
Armenia,ARM
Australia,AUS
Austria,AUT
Bosnia and Herzegovina,BIH
Brazil,BRA
Bulgaria,BGR
Argentina,ARG
Canada,CAN
Chile,CHL
China,CHN
Croatia,HRV
Cyprus,CYP
Czech Republic,CZE
Egypt,EGY
England,GBR
France,FRA
Georgia,GEO
Germany,DEU
Greece,GRC
Hungary,HUN
India,IND
Israel,ISR
Italy,ITA
Lebanon,LBN
Luxembourg,LUX
Macedonia,MKD
Mexico,MEX
Moldova,MDA
Morocco,MAR
New Zealand,NZL
Peru,PER
Portugal,PR1
Romania,ROU
Serbia,SRB
Slovakia,SVK
Slovenia,SVN
South Africa,ZAF
Spain,ESP
Switzerland,CHE
Turkey,TUR
Ukraine,UKR
Uruguay,URY
US,USA
